"Year","Country.Code","WBL.Index","GDP","Labor.Force.Participation","Education.Levels","Wage"
1991,"AUS",75,627060575115.855,41.6082212764999,40.54138184,86.1268680783004
1991,"AUT",70.625,247532687599.64,41.1135238990678,32.2944603,86.1747216465133
1991,"BEL",64.375,300540270633.774,39.7949474520944,38.60400009,84.4083750847303
1991,"CAN",95,859468413002.863,44.6303085915873,104.4569016,89.9430190685091
1991,"CHL",54.375,77391556631.4767,30.5015870567926,NA,73.2681765211159
1991,"CZE",67.5,108689725047.004,44.4589521072158,14.54351997,94.3384224502057
1991,"DNK",78.75,205020430066.543,46.4684803515557,40.42750931,93.2171486889105
1991,"EST",55,13485390274.2879,47.4137092075131,NA,96.4617813445599
1991,"FIN",82.5,146857345228.906,47.1009094643876,53.20288849,89.0019551073916
1991,"FRA",76.875,1651067777946.68,43.9336740885336,42.44662094,87.4991353968961
1991,"DEU",71.25,2483654820949.25,42.4301298977457,NA,92.0568062301312
1991,"GRC",70.625,162306379130.518,34.6514577318542,NA,54.464177243518
1991,"HUN",66.875,78733089074.8481,45.4179053122145,14.76233959,84.1915146786928
1991,"ISL",85.625,9005036784.58508,45.5569219715079,29.57233047,87.9962546816479
1991,"IRL",75,84104920462.0281,35.1035536634673,27.28199959,89.4922773578705
1991,"ISR",63.125,111984124201.798,40.8448102561785,31.9903698,91.7193828462128
1991,"ITA",71.25,1590984785719,36.8915478037786,31.11459923,75.6854861627914
1991,"JPN",68.125,3633170889061.82,40.6846154890595,22.84967995,75.8238669039779
1991,"KOR",57.5,444840963700.951,38.8831881053773,23.51326942,57.1598407686427
1991,"LVA",55,17743516948.7928,47.4185561027906,26.96952057,90.6522594839281
1991,"LTU",61.25,29066403139.7446,48.2301066555819,NA,86.5639236212077
1991,"LUX",74.375,27391849518.0187,35.5007076070785,NA,89.253216190775
1991,"NLD",83.125,479533499517.689,39.6106585999401,35.3427887,88.4179149062107
1991,"NZL",81.25,86918728011.2973,43.6809165758199,46.07410812,84.0716672413998
1991,"NOR",80,218341469463.677,45.4022164084501,46.10268021,93.2726618814144
1991,"POL",61.25,181131204775.169,45.5228884474583,24.8491497,72.0112482287987
1991,"PRT",68.75,152051580863.96,43.2472354746389,26.14940071,75.6082752076877
1991,"SVK",61.25,38919807169.4918,46.9052341390903,NA,96.8491691305313
1991,"SVN",64.375,24784757336.3165,46.6673138996185,25.67318916,87.771059814844
1991,"ESP",73.75,764246620913.803,34.7181283856464,39.1006012,74.7044950779021
1991,"SWE",81.875,295304986687.656,47.818946651015,36.18193817,93.1359848491834
1991,"CHE",60,466206071277.777,41.3689701915572,18.9633007,83.4441846944791
1991,"GBR",78.125,1748098930983.33,43.4407488056692,28.71344948,91.3071142282425
1991,"USA",81.25,9774639354000,44.5229512872785,79.05632019,94.715881713225
1992,"AUS",75,629746209994.416,41.7888186871581,42.34503937,86.1689514933251
1992,"AUT",73.125,252714846186.879,41.700001670287,35.50785828,86.1125345695701
1992,"BEL",64.375,305140504133.549,40.4451428217192,NA,83.4474118663606
1992,"CAN",97.5,867121689189.495,44.7985188675869,107.0994873,89.4146682149408
1992,"CHL",54.375,86033645570.0678,31.2482650677329,NA,73.5767871773863
1992,"CZE",70,108139165567.356,44.4206878375919,13.25475979,94.0191202618084
1992,"DNK",78.75,209167606402.311,46.7933397463233,43.33242035,92.8148627058278
1992,"EST",55,10630714368.8022,46.9825500757991,24.27993011,95.3294416732251
1992,"FIN",82.5,141994350229.297,47.055071609255,58.71107101,88.9494417323215
1992,"FRA",76.875,1676098974581.98,44.2273609624355,46.36330032,87.7576436907655
1992,"DEU",71.25,2533680205307.88,42.6244215751567,30.66111946,91.9165527313939
1992,"GRC",70.625,163442523659.057,35.4004053137787,34.33863831,53.7537392759471
1992,"HUN",70,76320565233.1898,45.3929675952069,15.26159,83.801473382782
1992,"ISL",85.625,8701216382.78944,45.8816999790176,35.77590179,88.3496349572954
1992,"IRL",75,86916778951.971,35.8548928866727,30.74913979,89.3021256749898
1992,"ISR",65.625,120673270502.765,41.6319391720515,NA,91.7327513499896
1992,"ITA",71.25,1604257981628.63,36.2918996718445,34.20735931,74.6326613838552
1992,"JPN",71.25,3665890719855.77,40.595065773397,24.43643951,77.2664089469167
1992,"KOR",57.5,472415066061.572,38.6892442139954,25.37991905,57.5258836682403
1992,"LVA",55,12044552954.7921,47.3812540766682,26.07205009,89.719786273693
1992,"LTU",61.25,22887185052.507,48.1158152312164,31.88056946,85.8625501768122
1992,"LUX",74.375,27890285979.4902,37.4422848535759,NA,89.330293803504
1992,"NLD",83.125,487714681433.904,40.5271120925208,38.47948837,90.0418510478417
1992,"NZL",81.25,87869415436.1129,43.7905436259,52.64888,83.5700965617776
