"Year","Country.Code","WBL.Index","Region","Income Group","GDP","Labor.Force.Participation","Edu.pri","Edu.sec","Edu.ter","Wage","Edu.pri_Missing_Rate","Edu.sec_Missing_Rate","Edu.ter_Missing_Rate","Edu_Missing_Rate","Log.GDP"
1991,"ALB",59.375,"Europe & Central Asia","Upper middle income",5407.32479575301,40.9813237394847,95.98725,65.85455,9.250089645,32.3781832536848,0.66,0.75,0.06,0.49,8.59569467430565
1991,"DZA",40.625,"Middle East & North Africa","Lower middle income",11728.5457286202,12.2817162997826,81.62065,49.12656,19.90374947,57.5972677764486,0.47,0.91,0.44,0.6,9.36986621358474
1991,"ARG",59.375,"Latin America & Caribbean","Upper middle income",17007.2844317191,39.9461848614547,96.00714,76.5898,62.41674042,74.6860874125084,0.97,0.38,0.25,0.53,9.74145582384965
1991,"ARM",58.125,"Europe & Central Asia","Upper middle income",6137.60045786761,47.1644358731324,85.03821,91.98581,39.58868027,32.6661875910628,0.59,0.84,0.28,0.57,8.72235205670123
1991,"AUS",75,"High income: OECD","High income",35669.6388362725,41.6082212764999,97.68312,88.33589,40.54138184,86.1268680783004,0.53,0.78,0.53,0.61,10.4820831878161
1991,"AUT",70.625,"High income: OECD","High income",43728.6228644987,41.1135238990678,91.79287,88.02071,32.2944603,86.1747216465133,0.47,0.44,0.44,0.45,10.6857810201873
1991,"AZE",61.25,"Europe & Central Asia","Upper middle income",10612.9666645849,48.9935216056466,94.78084,88.15416,20.24593925,30.7775503356094,0.22,0.97,0.47,0.55,9.26992602268052
1991,"BHS",64.375,"Latin America & Caribbean","High income",33062.5459044975,46.2964316517315,88.84671,90.55332,20.70882034,89.3868093972268,0.47,0.44,0.97,0.62,10.4061866222628
1991,"BHR",26.25,"Middle East & North Africa","High income",41856.54450772,16.7467938334478,97.96123,93.44872,19.53812027,98.9007139970362,0.47,0.28,0.31,0.35,10.6420273346454
1991,"BGD",38.125,"South Asia","Lower middle income",2069.78230100672,21.5341472340632,93.66587,40.60347,3.542540073,21.7822496378369,0.97,0.41,0.28,0.55,7.63568173805608
1991,"BRB",68.125,"Latin America & Caribbean","High income",16976.7616479779,47.0425972096971,89.22107,94.93646,33.18186188,91.3501203162599,0.44,0.53,0.75,0.57,9.73965962832423
1991,"BLR",58.125,"Europe & Central Asia","Upper middle income",12351.635710338,48.7771016712496,86.28125,95.05603,51.0044899,97.4933582157252,0.81,0.75,0.12,0.56,9.42162473712691
1991,"BEL",64.375,"High income: OECD","High income",42487.6885040671,39.7949474520944,97.92838,96.34577,38.60400009,84.4083750847303,0.28,0.28,0.09,0.22,10.6569931666421
1991,"BLZ",63.125,"Latin America & Caribbean","Upper middle income",8243.73265496349,29.4249311294766,97.11298,57.1753,18.34680939,75.2150757886112,0.59,0.44,0.31,0.45,9.01732980935744
